26952,1246,1
1557,1554,1
16089,15958,1
7965,77,3
27335,8,1
5244,77,2
9088,8,1
1669,9210,1
35686,520,1
33515,16231,1
2556,402,2
7191,6263,1
9357,31889,1
162,77,2
7677,22127,1
29679,520,1
1132,12996,1
1851,8,1
8662,387,1
25363,233,2
14331,8,1
26858,16698,3
31116,33745,1
22769,16989,1
8373,77,1
1444,77,2
4911,8,1
4911,8,1
48254,8,1
14193,8,1
48076,40,2
44797,8,1
8922,8,1
880,1091,1
4359,8730,1
7218,775,1
46080,402,1
35610,8,1
43192,8,1
31116,36221,1
37937,29326,1
15818,77,2
5456,77,1
11043,77,2
10283,13122,1
25657,775,1
6056,15698,1
95,84,1
47691,4476,1
1851,5877,1
35197,508,1
9792,8043,1
35082,77,2
19272,77,2
913,10056,1
49337,16688,3
16505,1261,1
4647,8202,1
36792,77,2
576,775,2
2859,775,1
3801,77,2
11859,55,2
8757,402,2
6968,4911,1
117,77,2
4657,16688,3
14314,233,2
9088,1777,1
6156,25363,1
11057,2291,1
25632,233,2
39277,221,1
8153,848,1
168,552,1
17694,775,1
5009,47727,1
3640,45815,1
4295,31954,1
13246,77,2
7736,6659,1
1720,387,1
3949,3572,1
37670,8,1
7736,44090,1
7268,4222,1
49866,775,1
10275,233,2
50441,23277,1
5394,13246,1
5009,3126,1
23995,9175,2
14886,40,2
12996,13545,1
8731,77,2
14538,1261,1
35953,6056,1
48415,77,2
3409,77,2
95,8,1
47352,233,2
38747,25583,1
21817,8,1
84,3780,1
45973,15534,1
14501,8578,1
18451,20455,1
54,402,2
6099,233,1
11057,5647,1
6079,8,2
43945,33704,1
48776,1482,1
7218,5442,1
37013,25363,1
16635,70,1
4333,2274,2
37013,233,2
3456,5442,1
22122,13299,1
6056,6156,1
10840,221,1
29850,5442,1
40392,18162,2
1552,1554,2
4530,221,1
44839,402,2
44839,402,2
473,26575,1
51511,387,1
6261,402,2
91,402,2
7218,520,1
7564,8,1
688,402,2
14122,5877,1
23554,1482,1
16193,51835,1
8689,50738,1
13384,49866,1
1897,77,3
3600,387,1
22363,4086,1
5870,557,1
31167,520,1
636,8,1
1927,77,2
45539,1840,1
14462,6633,1
15363,1261,1
14273,77,2
1194,402,2
13679,5208,1
15969,18132,1
688,21,2
16900,8,1
5818,166,3
16148,16539,1
49216,52130,1
1552,1557,1
14273,32941,1
1125,3126,1
7520,356,1
35197,207,1
7657,27651,1
51511,34837,1
10362,221,1
181,36221,1
8685,355,1
34570,36084,1
6327,91,1
6333,8,1
10078,1482,1
40,40041,1
49883,5464,1
5309,402,2
6438,1418,1
36892,36560,2
7719,8,1
8458,8009,1
2743,7757,1
45159,14128,1
4252,43999,1
38747,11390,1
7630,7952,2
9603,3224,1
1944,8478,2
40971,8169,1
3600,77,1
747,21803,1
8458,77,1
39782,150,2
4013,21615,1
14120,355,1
