5,37,2
29,27,2
30,9,2
39,10,2
28,33,2
5,45,2
5,28,2
18,42,2
48,36,2
24,49,2
13,17,2
31,34,2
43,46,2
39,8,2
26,7,2
18,6,2
32,26,2
4,47,2
32,22,2
49,40,2
8,25,2
5,40,2
31,10,2
49,29,2
39,23,2
48,29,2
1,31,2
20,14,2
10,18,2
3,19,2
10,3,2
14,21,2
29,47,2
47,37,2
11,34,1
18,3,1
41,42,1
41,21,1
35,48,1
16,40,1
34,42,1
37,12,1
25,16,1
18,30,1
24,41,1
23,19,1
39,36,1
12,41,1
49,43,1
47,32,1
26,4,1
4,27,1
36,12,1
4,15,1
37,2,1
49,2,1
28,47,1
42,5,1
3,48,1
3,12,1
21,25,1
17,11,1
19,9,1
46,40,1
16,3,1
17,19,1
